Comment	Description	Designator	Footprint	LibRef	Manufacturer	Manufacturer Part Number	Manufacturer1 ComponentHeight	Manufacturer1 Example	Manufacturer1 Part Number	Part Description	Part Number	Quantity

"Device"	""	"IC11_U_POWERMES_1, IC11_U_POWERMES_2"	"SOIC127P600X175-8N"	"AD8307AR"	""	""	""	""	""	""	""	"2"
"IRF7389"	""	"Q4, Q5"	"SO-8"	"IRF7389"	""	""	""	""	""	""	""	"2"
"IS42S16"	"SDRAM 64m 200mhz 54tsop"	"IC1"	"TSOP-54"	"IS42S16"	""	""	""	""	""	""	""	"1"
"LAN8742A-CZ-TR"	"LAN8742A-CZ-TR - Small Footprint RMII 10/100 Ethernet, Transceiver with HP Auto-MDIX and flexPWR Technology SQFN-24"	"U2"	"QFN50P400X400X80-25N-S225"	"LAN8742A-CZ-TR"	""	""	""	""	""	""	""	"1"
"LEDRA3010-GYW120"	"LED (Maritex)"	"LED1, LED2, LED3, LED4, LED5"	"LED_KPA3010_G"	"LED_SMD_90deg_G"	""	""	""	""	""	""	""	"5"
"MCP1525T-I/TT"	"2.5 voltage reference"	"IC4"	"SOT95P251X112-3N"	"REF_MCP1525"	""	""	""	""	""	""	""	"1"
"STM809SWX6F"	"2.93V  Reset circuit"	"IC3"	"SOT95P229X119-3N"	"VMON_STM809"	""	""	""	""	""	""	""	"1"
"TC4428A"	"MOSFET Driver"	"IC5, IC6"	"SO-8"	"DRV_TC4428A"	""	""	""	""	""	""	""	"2"
"Header 34"	"Connector 34 Male"	"J3"	"3M_N2534-6002RB"	"3M_N2534-6002RB"	"3M"	"N2534-6002RB"	""	""	""	"34 Contacts - Straight .100'' x .100'' Low Profile Four-Wall Header, 2500 Series"	"3M_N2534-6002RB"	"1"
"32.768KHZ"	"Quartz Crystal"	"Q3"	"XTAL_ABRACON_ABS09"	"XTAL_32.768KHZ_ABRACON_ABS09-32.768KHZ-T"	"ABRACON"	"ABS09-32.768KHZ-T"	""	""	""	"Tolerance: ±20ppm, Stability: ±5ppm, -40°C to +85°C, 12.5pF, SMD Low Profile Crystal, ABS09 Series"	"XTAL_32.768KHZ_ABRACON_ABS09-32.768KHZ-T"	"1"
"MicroUSB-B"	"MicroUSB-B-SMT"	"J5, J7"	"USB-Micro-B-RA-SMD-PiP"	"USB-Micro-B-RA-SMD-PiP"	"Allen Creations Corp."	"AJU55-BS2111-L"	""	""	""	""	"USB-Micro-B-RA-SMD-PiP"	"2"
"AD9851BRSZ"	"CMOS 180MHz DDS/DAC Synthesizer"	"IC10_U_Generator_1, IC10_U_Generator_2"	"SOP65P780X200-28N"	"AD9851BRSZ"	"ANALOG DEVICES"	"AD9851BRSZ"	""	""	""	"CMOS 180MHz DDS/DAC Synthesizer, 10-Bit"	"AD9851BRSZ"	"2"
"AT24C64AN-10SU-1.8"	"64K (8192 x 8), Two-Wire Serial EEPROM"	"IC7"	"SOIC127P600X175-8N"	"AT24C64AN-10SU-1.8"	"ATMEL"	"AT24C64AN-10SU-1.8"	""	""	""	"1.8V, 64K (8192 x 8), Two-Wire Serial EEPROM"	"AT24C64AN-10SU-1.8"	"1"
